id,nombre,lat,lon
0,Centro de Distribución 1,24.774908,-107.309857
1,Tienda 1,24.822371,-107.472101
2,Tienda 2,24.758429,-107.426728
3,Tienda 3,24.791214,-107.342965
4,Tienda 4,24.739935,-107.397153
5,Tienda 5,24.818483,-107.49071
6,Tienda 6,24.821509,-107.465895
7,Tienda 7,24.71301,-107.310223
8,Tienda 8,24.893126,-107.338321
9,Tienda 9,24.760923,-107.480466
10,Tienda 10,24.836847,-107.41197
11,Tienda 11,24.724408,-107.400965
12,Tienda 12,24.706878,-107.318136
13,Tienda 13,24.751756,-107.367496
14,Tienda 14,24.762342,-107.395986
15,Tienda 15,24.809342,-107.463029
16,Tienda 16,24.893917,-107.344973
17,Tienda 17,24.8879,-107.321035
18,Tienda 18,24.81958,-107.315625
19,Tienda 19,24.717699,-107.460803
20,Tienda 20,24.709045,-107.434934
21,Tienda 21,24.777735,-107.44573
22,Tienda 22,24.865748,-107.428649
23,Tienda 23,24.756187,-107.391461
24,Tienda 24,24.728185,-107.339561
25,Tienda 25,24.71491,-107.302623
26,Tienda 26,24.854449,-107.460257
27,Tienda 27,24.701104,-107.336908
28,Tienda 28,24.841371,-107.354199
29,Tienda 29,24.854254,-107.485191
30,Tienda 30,24.771693,-107.476826
31,Tienda 31,24.872621,-107.37534
32,Tienda 32,24.76618,-107.487288
33,Tienda 33,24.762196,-107.434963
34,Tienda 34,24.845921,-107.372489
35,Tienda 35,24.877443,-107.405557
36,Tienda 36,24.723919,-107.357351
37,Tienda 37,24.852157,-107.387745
38,Tienda 38,24.854193,-107.401241
39,Tienda 39,24.804547,-107.414492
40,Tienda 40,24.705084,-107.478422
41,Tienda 41,24.706286,-107.372718
42,Tienda 42,24.762871,-107.398286
43,Tienda 43,24.881513,-107.450142
44,Tienda 44,24.782077,-107.34889
45,Tienda 45,24.74576,-107.484604
46,Tienda 46,24.75795,-107.467756
47,Tienda 47,24.88594,-107.338376
48,Tienda 48,24.826681,-107.325708
49,Tienda 49,24.860734,-107.462686
50,Tienda 50,24.878512,-107.392132
51,Tienda 51,24.861488,-107.320782
52,Tienda 52,24.763601,-107.47799
53,Tienda 53,24.745587,-107.414578
54,Tienda 54,24.863603,-107.327854
55,Tienda 55,24.70139,-107.397851
56,Tienda 56,24.783482,-107.455578
57,Tienda 57,24.723973,-107.432477
58,Tienda 58,24.888582,-107.435359
59,Tienda 59,24.803758,-107.359396
60,Tienda 60,24.772726,-107.305644
61,Tienda 61,24.892489,-107.449644
62,Tienda 62,24.79945,-107.439824
63,Tienda 63,24.756968,-107.492623
64,Tienda 64,24.821913,-107.399464
65,Tienda 65,24.710296,-107.444271
66,Tienda 66,24.881653,-107.452088
67,Tienda 67,24.728979,-107.402109
68,Tienda 68,24.89713,-107.451589
69,Tienda 69,24.834427,-107.347676
70,Tienda 70,24.747528,-107.354357
71,Tienda 71,24.773557,-107.373539
72,Tienda 72,24.826706,-107.392845
73,Tienda 73,24.718058,-107.33294
74,Tienda 74,24.764156,-107.462696
75,Tienda 75,24.708155,-107.381821
76,Tienda 76,24.835513,-107.496682
77,Tienda 77,24.802419,-107.454701
78,Tienda 78,24.829035,-107.465127
79,Tienda 79,24.838188,-107.422653
80,Tienda 80,24.887346,-107.472496
81,Tienda 81,24.768213,-107.477305
82,Tienda 82,24.884939,-107.324532
83,Tienda 83,24.751588,-107.368003
84,Tienda 84,24.863444,-107.38896
85,Tienda 85,24.80593,-107.45163
86,Tienda 86,24.718621,-107.320557
87,Tienda 87,24.880084,-107.37338
88,Tienda 88,24.767806,-107.430158
89,Tienda 89,24.845191,-107.320578
90,Tienda 90,24.877417,-107.344025
